countryname,cases_controlled,test_and_trace,high_vulnerability,workplace_prevention,manage_imported_cases,community_understanding,overall_checklist
Lesotho,0.6,0.2,,,1.0,,0.6
Saudi Arabia,0.0,0.7,,,1.0,0.6,0.6
India,0.0,0.7,,,1.0,0.7,0.6
South Africa,0.0,0.7,,,1.0,0.6,0.6
Syria,0.9,0.1,,,0.8,,0.6
Angola,0.5,0.2,,,1.0,0.6,0.6
Argentina,0.0,0.5,,,1.0,0.8,0.6
Honduras,0.0,0.5,,,1.0,0.8,0.6
Oman,0.0,0.7,,,1.0,0.6,0.6
Zimbabwe,0.2,0.6,,,1.0,0.5,0.6
Colombia,0.0,0.6,,,1.0,0.7,0.6
South Korea,0.0,0.9,,,0.8,0.6,0.6
Azerbaijan,0.0,0.7,,,1.0,,0.6
Peru,0.0,0.4,,,1.0,0.8,0.6
Nepal,0.0,0.6,,,1.0,0.6,0.6
Panama,0.0,0.4,,,1.0,0.8,0.6
Kazakhstan,0.0,0.8,,,1.0,0.4,0.5
Canada,0.0,0.7,,,1.0,0.5,0.5
Dominican Republic,0.0,0.6,,,1.0,0.6,0.5
Costa Rica,0.0,0.5,,,1.0,0.6,0.5
Puerto Rico,,0.3,,,0.8,,0.5
Russia,0.0,0.8,,,1.0,0.4,0.5
Iraq,0.0,0.6,,,1.0,0.6,0.5
Chile,0.0,0.5,,,0.8,0.9,0.5
Mauritania,0.0,0.6,,,1.0,,0.5
Paraguay,0.0,0.6,,,1.0,0.5,0.5
United Arab Emirates,0.0,0.8,,,0.8,0.6,0.5
Sri Lanka,0.0,0.7,,,1.0,0.4,0.5
Sudan,0.0,0.6,,,1.0,,0.5
Eswatini,0.0,0.6,,,1.0,,0.5
Liberia,0.6,0.2,,,0.8,,0.5
Namibia,0.0,0.6,,,1.0,0.5,0.5
Senegal,0.0,0.6,,,1.0,0.4,0.5
Ecuador,0.0,0.4,,,1.0,0.6,0.5
Bermuda,,0.8,,,0.2,,0.5
Ghana,0.0,0.7,,,1.0,0.3,0.5
Gabon,0.1,0.5,,,1.0,0.5,0.5
Kenya,0.0,0.6,,,1.0,0.4,0.5
Israel,0.0,0.6,,,1.0,0.4,0.5
Nigeria,0.0,0.6,,,1.0,0.4,0.5
Guam,,0.5,,,0.5,,0.5
Bolivia,0.0,0.2,,,1.0,0.8,0.5
Palestine,0.0,0.5,,,1.0,,0.5
Madagascar,0.0,0.5,,,1.0,,0.5
Botswana,0.7,0.5,,,0.2,0.6,0.5
Bahrain,0.0,0.8,,,0.8,0.5,0.5
Singapore,0.0,0.7,,,0.5,0.8,0.5
Guatemala,0.0,0.2,,,1.0,0.8,0.5
Benin,0.5,0.4,,,0.5,0.5,0.5
Venezuela,0.0,0.2,,,1.0,0.6,0.5
United Kingdom,0.0,0.7,,,0.5,0.7,0.5
France,0.0,0.7,,,0.8,0.4,0.5
Poland,0.0,0.7,,,0.8,0.4,0.5
Croatia,0.0,0.8,,,0.8,0.3,0.5
Turkey,0.0,0.7,,,0.8,0.4,0.5
Cameroon,0.0,0.6,,,1.0,0.3,0.5
Brazil,0.0,0.2,,,1.0,0.7,0.5
Malawi,0.0,0.6,,,0.8,,0.5
Qatar,0.0,0.6,,,0.8,0.4,0.5
United States,0.0,0.6,,,0.8,0.5,0.5
Germany,0.0,0.7,,,0.8,0.4,0.5
Czech Republic,0.0,0.7,,,0.8,0.3,0.5
Algeria,0.0,0.3,,,1.0,,0.4
Switzerland,0.0,0.6,,,0.8,0.4,0.4
Bangladesh,0.0,0.4,,,0.8,0.6,0.4
Tanzania,1.0,0.1,,,0.0,0.6,0.4
Central African Republic,0.1,0.2,,,1.0,,0.4
Austria,0.0,0.8,,,0.5,0.4,0.4
Zambia,0.2,0.6,,,0.5,0.3,0.4
Japan,0.0,0.6,,,0.8,0.4,0.4
Pakistan,0.0,0.5,,,0.8,0.5,0.4
Ethiopia,0.0,0.5,,,0.8,,0.4
Romania,0.0,0.6,,,0.8,0.4,0.4
Netherlands,0.0,0.5,,,0.8,0.4,0.4
Moldova,0.0,0.7,,,1.0,0.0,0.4
Bulgaria,0.0,0.6,,,0.8,0.3,0.4
Belgium,0.0,0.5,,,0.8,0.4,0.4
Mexico,0.0,0.3,,,0.8,0.6,0.4
Sweden,0.0,0.5,,,0.8,0.4,0.4
Italy,0.0,0.7,,,0.5,0.5,0.4
Democratic Republic of Congo,0.0,0.2,,,1.0,,0.4
Congo,0.0,0.2,,,1.0,,0.4
Libya,0.0,0.2,,,1.0,0.4,0.4
Lebanon,0.0,0.6,,,0.5,0.5,0.4
Solomon Islands,,0.0,,,0.8,,0.4
Belarus,0.0,0.7,,,0.8,0.0,0.4
Kosovo,,0.5,,,0.2,,0.4
Portugal,0.0,0.7,,,0.2,0.5,0.4
Uzbekistan,0.0,0.3,,,0.8,,0.4
Yemen,0.4,0.0,,,1.0,0.0,0.4
Tajikistan,0.0,0.2,,,0.8,0.4,0.4
Greece,0.2,0.6,,,0.2,0.4,0.3
Cote d'Ivoire,0.0,0.3,,,0.8,0.3,0.3
Spain,0.0,0.5,,,0.2,0.6,0.3
Luxembourg,0.0,0.8,,,0.0,0.5,0.3
Kyrgyz Republic,0.0,0.6,,,0.8,0.0,0.3
Albania,0.0,0.6,,,0.5,0.2,0.3
Ukraine,0.0,0.7,,,0.2,0.3,0.3
Egypt,0.0,0.7,,,0.0,0.6,0.3
Haiti,0.0,0.2,,,0.5,0.5,0.3
Indonesia,0.0,0.4,,,0.2,0.5,0.3
Turkmenistan,,0.1,,,0.8,0.0,0.3
Aruba,,0.3,,,0.2,,0.3
Guinea,0.0,0.3,,,0.5,,0.3
Serbia,0.0,0.6,,,0.0,0.2,0.2
Iran,0.0,0.6,,,0.0,,0.2
Bosnia and Herzegovina,0.0,0.4,,,0.0,0.3,0.2
Nicaragua,0.1,0.1,,,0.0,0.5,0.2
Afghanistan,0.0,0.2,,,0.2,,0.2
Gibraltar,,,,,,0.0,0.0
,,,,,,,
Note: Data from 12 Jul 2020. Individual countries may be several days older.,,,,,,,
Source: Oxford COVID-19 Government Response Tracker. More at: github.com/OxCGRT/covid-policy-tracker or bsg.ox.ac.uk/covidtracker,,,,,,,
